dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,spectral_distortion,lsd_db,retained_bandwidth_hz,hf_power_change_db,estimated_delay_samples,estimated_delay_ms
test-clean,1636,5683,32866,12,mp3,32k,35.81108474731445,4.870372772216797,7281.25,-0.9597339969269042,0,0.0
test-clean,1636,5683,32866,12,mp3,24k,77.05552673339844,6.8657002449035645,5812.5,-4.7075251580234205,0,0.0
test-clean,1636,5683,32866,12,mp3,16k,119.02734375,8.79224681854248,5562.5,-6.980333236145979,0,0.0
test-clean,1636,5683,32866,12,opus,64k,2.3495397567749023,1.3786027431488037,8000.0,-0.8520372086034033,0,0.0
test-clean,1636,5683,32866,12,opus,32k,13.501422882080078,3.244983673095703,8000.0,-3.8241020196552555,0,0.0
test-clean,1636,5683,32866,12,opus,16k,24.97689437866211,4.567038059234619,8000.0,-3.4996221822546545,0,0.0
test-clean,1636,5683,32866,12,opus,12k,29.651445388793945,5.043751239776611,8000.0,-2.04399102461092,0,0.0
test-clean,1636,5683,32866,12,opus,8k,113.51189422607422,8.721732139587402,4718.75,-18.73115327890994,2,0.125
test-clean,1636,5683,32866,12,opus,6k,116.02189636230469,8.975707054138184,4812.5,-16.601135473194667,2,0.125
test-clean,371,1580,141083,37,mp3,128k,37.407928466796875,5.299179553985596,7281.25,-0.6398318162604653,0,0.0
test-clean,371,1580,141083,37,mp3,64k,43.69473648071289,5.929440975189209,7281.25,-0.6613705111513514,0,0.0
test-clean,371,1580,141083,37,mp3,32k,77.32148742675781,8.231734275817871,7281.25,-0.43693135376308473,0,0.0
test-clean,371,1580,141083,37,mp3,24k,166.2657012939453,11.715863227844238,5812.5,-1.6965589304235298,0,0.0
test-clean,371,1580,141083,37,mp3,16k,234.0612335205078,14.186038970947266,5562.5,-1.9212675173098728,0,0.0
test-clean,371,1580,141083,37,opus,64k,4.279997825622559,1.9980968236923218,8000.0,-0.2514709940027806,0,0.0
test-clean,371,1580,141083,37,opus,32k,25.32193946838379,4.912429332733154,8000.0,-2.0436482071597055,0,0.0
test-clean,371,1580,141083,37,opus,16k,42.73747253417969,6.436675548553467,8000.0,-2.329838607129719,0,0.0
test-clean,371,1580,141083,37,opus,12k,48.96963119506836,6.914149761199951,8000.0,-1.7399612865108158,0,0.0
test-clean,371,1580,141083,37,opus,8k,229.2152862548828,13.830323219299316,4562.5,-11.260671602149843,2,0.125
test-clean,371,1580,141083,37,opus,6k,230.44317626953125,13.935789108276367,4812.5,-7.763136901096336,2,0.125
test-clean,892,2961,960,18,mp3,128k,11.10844898223877,2.2057735919952393,7281.25,-0.7192349278595171,0,0.0
