dataset,codec,bitrate,layer,cosine_mean,cosine_median,cosine_std,drift_mean,drift_median,drift_std,sdrift_mean,sdrift_median,sdrift_std
test-clean,opus,16k,layer_2,0.9443618316650391,0.9451996088027954,0.010323974438529535,0.055638168334960936,0.05480039119720459,0.010323974438529534,0.08224841380119324,0.08096116781234741,0.01387067961637939
test-clean,opus,12k,layer_2,0.9109690624475479,0.9116464555263519,0.01455584465312325,0.08903093755245209,0.08835354447364807,0.014555844653123241,0.13260018742084503,0.13149091601371765,0.019595101161077818
test-clean,opus,8k,layer_2,0.7553769418001175,0.7588698267936707,0.03656833929019068,0.2446230581998825,0.24113017320632935,0.03656833929019068,0.3478607997298241,0.34492966532707214,0.04534303107766104
test-clean,opus,6k,layer_2,0.6859315196275712,0.6896268129348755,0.037099564727819515,0.3140684803724289,0.3103731870651245,0.03709956472781953,0.4481562930345535,0.4430851936340332,0.04446266064275037
test-other,mp3,128k,layer_2,0.9918410081863404,0.9926654100418091,0.004462214264868225,0.008158991813659668,0.007334589958190918,0.004462214264868222,0.011647247314453124,0.01073339581489563,0.0061521016726920575
test-other,mp3,64k,layer_2,0.9886426383256912,0.98932945728302,0.004605027827923727,0.011357361674308777,0.01067054271697998,0.0046050278279237316,0.016459155082702636,0.015576839447021484,0.0063822487872892235
test-other,mp3,32k,layer_2,0.9543813610076904,0.9550172388553619,0.010458808711549446,0.04561863899230957,0.04498276114463806,0.010458808711549429,0.06767377173900604,0.06748828291893005,0.01518041375221562
test-other,mp3,24k,layer_2,0.8885382831096649,0.8897866308689117,0.029991029985528325,0.11146171689033509,0.11021336913108826,0.029991029985528325,0.16392278981208802,0.1639420986175537,0.04235369083362492
test-other,mp3,16k,layer_2,0.8146123353242875,0.8148582577705383,0.0429427864609953,0.18538766467571258,0.18514174222946167,0.04294278646099531,0.26721337938308715,0.2677033543586731,0.05821905832881331
test-other,opus,64k,layer_2,0.9943687891960145,0.996484100818634,0.00826887415861856,0.005631210803985595,0.003515899181365967,0.008268874158618562,0.008000573873519897,0.005119204521179199,0.011373451913941037
test-other,opus,32k,layer_2,0.973316047668457,0.9756973683834076,0.01137244997149113,0.026683952331542967,0.024302631616592407,0.011372449971491136,0.037743433594703675,0.03457760810852051,0.015197179971726734
test-other,opus,16k,layer_2,0.9376180260181427,0.9389683604240417,0.015312840173899405,0.0623819739818573,0.06103163957595825,0.01531284017389944,0.09096170711517335,0.0884968638420105,0.020464469336040722
test-other,opus,12k,layer_2,0.9014999959468841,0.9049043357372284,0.02003333667702214,0.09850000405311585,0.0950956642627716,0.020033336677022152,0.14499065089225768,0.14053794741630554,0.02716784582709712
test-other,opus,8k,layer_2,0.7373859241008759,0.7391937077045441,0.04933722617941484,0.26261407589912417,0.26080629229545593,0.049337226179414786,0.36803062611818316,0.3649178147315979,0.062343694506780956
test-other,opus,6k,layer_2,0.6673507725000382,0.669385701417923,0.04938369329958205,0.33264922749996184,0.330614298582077,0.04938369329958205,0.46708190417289736,0.4657530188560486,0.06104082733953801
test-clean,mp3,128k,layer_3,0.9943288871049881,0.9946434497833252,0.0028055500783750664,0.005671112895011902,0.005356550216674805,0.0028055500783750564,0.008334115743637086,0.007882297039031982,0.004057864056561301
test-clean,mp3,64k,layer_3,0.9904620875120163,0.9907462298870087,0.0031277445513542778,0.009537912487983703,0.009253770112991333,0.0031277445513542635,0.014391217231750488,0.014041602611541748,0.004597251852854871
test-clean,mp3,32k,layer_3,0.9522028965950012,0.9523816704750061,0.009751080238334837,0.04779710340499878,0.047618329524993896,0.009751080238334833,0.07325044500827789,0.07247364521026611,0.014473818585839465
test-clean,mp3,24k,layer_3,0.8967266155481338,0.8999404609203339,0.02224514654065442,0.10327338445186615,0.10005953907966614,0.022245146540654414,0.15464253067970277,0.1509811282157898,0.030613450012465744
test-clean,mp3,16k,layer_3,0.8260122257471084,0.8287196159362793,0.029163660385315315,0.17398777425289155,0.1712803840637207,0.029163660385315312,0.2588907446861267,0.2558642625808716,0.03944221907891404
test-clean,opus,64k,layer_3,0.9961585270166398,0.9970291554927826,0.004135599263641567,0.0038414729833602906,0.0029708445072174072,0.0041355992636415715,0.005575684189796448,0.004309535026550293,0.005953033348446829
test-clean,opus,32k,layer_3,0.9802538900375366,0.9818340539932251,0.006458058458802545,0.019746109962463378,0.018165946006774902,0.006458058458802543,0.028568379759788515,0.026686817407608032,0.008913240970898186
test-clean,opus,16k,layer_3,0.9502461248636246,0.9514642357826233,0.010407166370727763,0.04975387513637543,0.04853576421737671,0.010407166370727765,0.07414471077919006,0.07220911979675293,0.014474672373183712
test-clean,opus,12k,layer_3,0.919950011253357,0.9214067459106445,0.0148436773573895,0.08004998874664307,0.07859325408935547,0.014843677357389494,0.12003512752056122,0.11856958270072937,0.02071372638332819
test-clean,opus,8k,layer_3,0.7788572510480881,0.7821255028247833,0.03610653165392251,0.22114274895191194,0.21787449717521667,0.0361065316539225,0.32437794250249863,0.3203825354576111,0.049322407315539135
test-clean,opus,6k,layer_3,0.7141659198999405,0.7175727486610413,0.03680396792835155,0.2858340801000595,0.28242725133895874,0.03680396792835156,0.4192620952129364,0.4152587652206421,0.04829706870120416
test-other,mp3,128k,layer_3,0.9925600620508194,0.9933427572250366,0.004347609511099682,0.007439937949180603,0.006657242774963379,0.004347609511099669,0.010987265825271606,0.009963244199752808,0.006177873985114165
test-other,mp3,64k,layer_3,0.9896479747295379,0.9904568791389465,0.004459435057666714,0.010352025270462036,0.009543120861053467,0.004459435057666711,0.01551448929309845,0.014606475830078125,0.0063693922951187166
test-other,mp3,32k,layer_3,0.9578556839227677,0.9578874707221985,0.009791468619302465,0.04214431607723236,0.042112529277801514,0.00979146861930248,0.06440502464771271,0.06462174654006958,0.014781616120230667
test-other,mp3,24k,layer_3,0.8965750069618225,0.8973155915737152,0.029003337245765624,0.1034249930381775,0.10268440842628479,0.02900333724576563,0.1559344174861908,0.15458762645721436,0.042184394200980316
test-other,mp3,16k,layer_3,0.8277708290815353,0.8277147114276886,0.04018208817647747,0.17222917091846465,0.1722852885723114,0.04018208817647746,0.2576084553003311,0.25806301832199097,0.0572197135699867
test-other,opus,64k,layer_3,0.9948022055625916,0.9967194497585297,0.007773167751389453,0.0051977944374084475,0.003280550241470337,0.0077731677513894586,0.007479894518852234,0.004845291376113892,0.010829013090299966
test-other,opus,32k,layer_3,0.9752225828170776,0.9775887429714203,0.01076478062178466,0.024777417182922364,0.022411257028579712,0.010764780621784664,0.03577063632011414,0.032812803983688354,0.014750569448653559
test-other,opus,16k,layer_3,0.942712448835373,0.9447422921657562,0.015298901185745586,0.057287551164627075,0.055257707834243774,0.015298901185745591,0.08473655307292938,0.08221152424812317,0.021038510880372886
test-other,opus,12k,layer_3,0.9090165308713913,0.9124064445495605,0.02028995376837089,0.0909834691286087,0.08759355545043945,0.0202899537683709,0.13569591975212097,0.13075044751167297,0.02819946567423489
test-other,opus,8k,layer_3,0.7534003745317459,0.7547226548194885,0.049436643385902895,0.2465996254682541,0.24527734518051147,0.0494366433859029,0.3603888041973114,0.3596467077732086,0.06894697027545926
test-other,opus,6k,layer_3,0.6879094744920731,0.6885456740856171,0.05041405103399451,0.31209052550792693,0.31145432591438293,0.050414051033994524,0.4547234622836113,0.4578108787536621,0.06833982190329282
