dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,drift_conv,sdrift_conv,drift_layer_1,sdrift_layer_1,drift_layer_2,sdrift_layer_2,drift_layer_3,sdrift_layer_3,drift_layer_4,sdrift_layer_4,drift_layer_5,sdrift_layer_5,drift_layer_6,sdrift_layer_6,drift_layer_7,sdrift_layer_7,drift_layer_8,sdrift_layer_8,drift_layer_9,sdrift_layer_9,drift_layer_10,sdrift_layer_10,drift_layer_11,sdrift_layer_11,drift_layer_12,sdrift_layer_12
test-clean,2475,8463,294828,13,mp3,16k,0.232951,0.244799,0.205467,0.283114,0.203264,0.300424,0.180562,0.270468,0.14519,0.214805,0.108575,0.147349,0.0863795,0.111918,0.0725098,0.0948806,0.0627105,0.0841954,0.049274,0.0730214,0.0324188,0.0569956,0.00198025,0.0641437,0.0420933,0.0839636
test-clean,2475,8463,294828,13,opus,64k,0.00372994,0.00411755,0.00238013,0.00354707,0.00196987,0.00298154,0.00173318,0.00268394,0.00176001,0.00257087,0.00197351,0.00222683,0.000962794,0.00122911,0.00213486,0.00297195,0.0046556,0.00557935,0.00445551,0.00646448,0.00328267,0.00697613,2.72989e-05,0.00255287,0.000373363,0.00136447
test-clean,2475,8463,294828,13,opus,32k,0.0340422,0.0373053,0.0205734,0.0293924,0.0183121,0.0268316,0.0156286,0.023124,0.0119274,0.0169913,0.00976348,0.0125964,0.0104755,0.0139732,0.0100576,0.0132169,0.0119363,0.0144515,0.00983483,0.0143872,0.006908,0.0135712,0.000228822,0.0100222,0.00832325,0.0224887
test-clean,2475,8463,294828,13,opus,16k,0.0875001,0.0951163,0.0597701,0.0862993,0.0528254,0.0799692,0.0462149,0.0698069,0.0356669,0.0530278,0.02905,0.0373785,0.0224174,0.0289574,0.0189332,0.025177,0.0187821,0.0247093,0.0166504,0.0249851,0.0115528,0.0220411,0.000415504,0.0191042,0.0132853,0.030872
test-clean,2475,8463,294828,13,opus,12k,0.129616,0.140409,0.0940123,0.134949,0.0874574,0.132076,0.0779563,0.116846,0.0601188,0.0880943,0.0446568,0.0579969,0.0369729,0.0476685,0.0304174,0.0398023,0.0275696,0.0352256,0.021813,0.0311105,0.0140824,0.0259244,0.0005669,0.0246949,0.0165476,0.0391096
test-clean,2475,8463,294828,13,opus,8k,0.339018,0.355247,0.244175,0.323196,0.245364,0.34902,0.23068,0.34248,0.197324,0.284483,0.146857,0.193418,0.112509,0.143763,0.0903285,0.114697,0.0791056,0.0976943,0.0606055,0.0848609,0.0384716,0.0700239,0.00145066,0.0580624,0.0285292,0.0625278
test-clean,2475,8463,294828,13,opus,6k,0.393252,0.411358,0.302124,0.404043,0.306029,0.440936,0.291995,0.434147,0.25266,0.369025,0.198657,0.266198,0.166679,0.212683,0.139363,0.176307,0.123208,0.151148,0.0938653,0.128964,0.0633999,0.109839,0.00321472,0.104318,0.0650333,0.125894
test-clean,2450,8463,294825,8,mp3,128k,0.000677347,0.000712454,0.00045985,0.000655055,0.000407875,0.000597954,0.000343919,0.000528812,0.000245452,0.000352979,0.000247657,0.000357568,0.00143301,0.00238401,0.000865102,0.00114888,0.000281751,0.000217795,8.70824e-05,9.50694e-05,2.76566e-05,4.39286e-05,1.49012e-06,5.94854e-05,4.54187e-05,0.000180781
test-clean,2450,8463,294825,8,mp3,64k,0.00663126,0.0070619,0.00470686,0.00681406,0.00397921,0.00602829,0.00323701,0.00499719,0.0024358,0.00364792,0.00322032,0.00505978,0.00724685,0.00953603,0.00825852,0.00991029,0.0110208,0.0121237,0.0111102,0.0156361,0.00993192,0.0221744,5.39422e-05,0.00610632,0.00056988,0.00234324
test-clean,2450,8463,294825,8,mp3,32k,0.0657914,0.0698993,0.0512995,0.073926,0.0462657,0.0711899,0.0423392,0.0662574,0.0333005,0.0498257,0.0251521,0.0368587,0.0320364,0.0440373,0.0289151,0.0364622,0.0313253,0.0359531,0.026846,0.0360708,0.0194546,0.0374296,0.000355899,0.0167502,0.00577658,0.0183346
test-clean,2450,8463,294825,8,mp3,24k,0.121171,0.126769,0.100799,0.145179,0.0962407,0.148389,0.0848362,0.131424,0.0645959,0.0961863,0.0521696,0.0725567,0.0529367,0.0728155,0.0448437,0.0594081,0.0413648,0.0505807,0.0323465,0.0437291,0.0222823,0.0404103,0.000709713,0.0286966,0.0166335,0.0432444
test-clean,2450,8463,294825,8,mp3,16k,0.219312,0.227453,0.202857,0.281549,0.197776,0.29615,0.179868,0.276382,0.152464,0.232733,0.130482,0.184184,0.106973,0.14723,0.0885472,0.117131,0.0747679,0.0987369,0.0554708,0.0763677,0.0390586,0.0645954,0.00220543,0.0635482,0.0393305,0.0972003
test-clean,2450,8463,294825,8,opus,64k,0.00323355,0.00350428,0.00202382,0.00300568,0.0016433,0.00253373,0.0015074,0.00231379,0.00171822,0.00222874,0.00207579,0.00272661,0.00177079,0.00287229,0.00103515,0.00141752,0.000877082,0.00125062,0.000547111,0.000979781,0.000188112,0.000409365,8.9407e-06,0.000424922,0.000155807,0.000475943
test-clean,2450,8463,294825,8,opus,32k,0.0293623,0.0315257,0.0186631,0.026494,0.0159936,0.02371,0.0136371,0.0202648,0.0103508,0.0150015,0.00827342,0.0107051,0.0084883,0.0114803,0.00818211,0.0107275,0.00860721,0.0100834,0.00686747,0.00922859,0.00473702,0.00902736,0.00011915,0.00516438,0.00273693,0.0101113
